"filename", "language", "JavaScript", "PHP", "XML", "JavaScript JSX", "JSON", "PostCSS", "Markdown", "JSON with Comments", "comment", "blank", "total"
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\resources\js\Components\ui\tabs.jsx", "JavaScript JSX", 0, 0, 0, 35, 0, 0, 0, 0, 0, 7, 42
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\resources\js\Components\ui\tooltip.jsx", "JavaScript JSX", 0, 0, 0, 20, 0, 0, 0, 0, 0, 7, 27
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\resources\js\Layouts\AppLayout.jsx", "JavaScript JSX", 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\resources\js\Layouts\AuthenticatedLayout.jsx", "JavaScript JSX", 0, 0, 0, 163, 0, 0, 0, 0, 0, 14, 177
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\resources\js\Layouts\GuestLayout.jsx", "JavaScript JSX", 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\resources\js\Pages\Auth\ConfirmPassword.jsx", "JavaScript JSX", 0, 0, 0, 46, 0, 0, 0, 0, 0, 10, 56
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\resources\js\Pages\Auth\ForgotPassword.jsx", "JavaScript JSX", 0, 0, 0, 46, 0, 0, 0, 0, 0, 10, 56
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\resources\js\Pages\Auth\Login.jsx", "JavaScript JSX", 0, 0, 0, 138, 0, 0, 0, 0, 0, 4, 142
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\resources\js\Pages\Auth\Register.jsx", "JavaScript JSX", 0, 0, 0, 163, 0, 0, 0, 0, 0, 5, 168
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\resources\js\Pages\Auth\ResetPassword.jsx", "JavaScript JSX", 0, 0, 0, 80, 0, 0, 0, 0, 0, 15, 95
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\resources\js\Pages\Auth\VerifyEmail.jsx", "JavaScript JSX", 0, 0, 0, 42, 0, 0, 0, 0, 0, 9, 51
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\resources\js\Pages\Dashboard.jsx", "JavaScript JSX", 0, 0, 0, 24, 0, 0, 0, 0, 0, 3, 27
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\resources\js\Pages\Flashcards.jsx", "JavaScript JSX", 0, 0, 0, 258, 0, 0, 0, 0, 6, 13, 277
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\resources\js\Pages\Home.jsx", "JavaScript JSX", 0, 0, 0, 289, 0, 0, 0, 0, 5, 11, 305
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\resources\js\Pages\Info.jsx", "JavaScript JSX", 0, 0, 0, 315, 0, 0, 0, 0, 0, 4, 319
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\resources\js\Pages\LoadingScreen.jsx", "JavaScript JSX", 0, 0, 0, 18, 0, 0, 0, 0, 0, 2, 20
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\resources\js\Pages\Profile\Edit.jsx", "JavaScript JSX", 0, 0, 0, 35, 0, 0, 0, 0, 0, 5, 40
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\resources\js\Pages\Profile\Partials\DeleteUserForm.jsx", "JavaScript JSX", 0, 0, 0, 103, 0, 0, 0, 0, 0, 18, 121
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\resources\js\Pages\Profile\Partials\UpdatePasswordForm.jsx", "JavaScript JSX", 0, 0, 0, 124, 0, 0, 0, 0, 0, 19, 143
